626.27194,1,df8057f,4,8,02,44,05,00,45,9c,2f,2a,27828,2024-05-31 17:23:56
626.27249,1,df8057f,4,8,03,98,ff,ee,c0,53,d8,ff,27829,2024-05-31 17:23:56
626.27307,1,df8057f,4,8,04,ff,ff,ff,ff,24,fc,00,278256180,2024-05-31 17:23:56
626.27363,1,df8057f,4,8,05,3c,00,6e,00,32,f6,ff,278256181,2024-05-31 17:23:56
626.27421,1,df8057f,4,8,06,ff,00,ff,ff,ff,ff,ff,278256182,2024-05-31 17:23:56
626.27427,2,cfff225,4,8,d4,07,1a,08,19,08,01,00,278256183,2024-05-31 17:23:56
626.27477,1,19fa047f,4,8,00,93,00,ff,0c,05,51,0e,278256184,2024-05-31 17:23:56
626.27534,1,19fa047f,4,8,01,ad,1e,04,10,00,00,00,278256185,2024-05-31 17:23:56
626.27589,1,19fa047f,4,8,02,00,f4,0a,a2,0d,5a,97,278256186,2024-05-31 17:23:56
626.27644,1,cf02ae2,4,8,c2,7c,36,7d,27,7d,00,05,278256187,2024-05-31 17:23:56
626.27701,1,19fa047f,4,8,03,cc,10,00,00,00,00,f4,278256188,2024-05-31 17:23:56
626.27757,1,8f02de2,4,8,d8,7c,0a,7d,d2,80,00,00,278256189,2024-05-31 17:23:56
626.27813,1,19fa047f,4,8,04,0d,ff,0e,ff,2c,a0,0f,278256190,2024-05-31 17:23:56
626.27867,1,cf029e2,4,8,8f,4f,7d,84,d5,7b,00,05,278256191,2024-05-31 17:23:56
626.27924,1,19fa047f,4,8,05,00,00,00,00,f4,0f,f3,278256192,2024-05-31 17:23:56
626.27981,1,19fa047f,4,8,06,1b,7e,43,f8,11,00,00,278256193,2024-05-31 17:23:56
626.28037,1,19fa047f,4,8,07,00,00,f4,10,ff,0e,59,278256194,2024-05-31 17:23:56
626.28094,1,19fa047f,4,8,08,d3,68,10,00,00,00,00,278256195,2024-05-31 17:23:56
626.2815,1,19fa047f,4,8,09,f4,12,ff,2c,2a,e9,c0,278256196,2024-05-31 17:23:56
626.28207,1,19fa047f,4,8,0a,12,00,00,00,00,f4,17,278256197,2024-05-31 17:23:56
626.28262,1,19fa047f,4,8,0b,d0,24,5a,97,f8,11,00,278256198,2024-05-31 17:23:56
626.28319,1,19fa047f,4,8,0c,00,00,00,f4,19,0b,02,278256199,2024-05-31 17:23:56
626.28376,1,19fa047f,4,8,0d,5a,79,d8,0e,00,00,00,278256200,2024-05-31 17:23:56
626.28431,1,19fa047f,4,8,0e,00,f4,1a,d1,15,13,b8,278256201,2024-05-31 17:23:56
626.28488,1,19fa047f,4,8,0f,f8,11,00,00,00,00,f4,278256202,2024-05-31 17:23:56
626.28543,1,19fa047f,4,8,10,1d,d0,24,95,56,5c,12,278256203,2024-05-31 17:23:56
626.28599,1,19fa047f,4,8,11,00,00,00,00,f4,4a,c5,278256204,2024-05-31 17:23:56
626.28654,1,cf02ae2,4,8,c4,7c,39,7d,26,7d,00,05,278256205,2024-05-31 17:23:56
626.28711,1,19fa047f,4,8,12,04,64,e4,a0,0f,00,00,278256206,2024-05-31 17:23:56
626.28766,1,8f02de2,4,8,d8,7c,0a,7d,d2,80,00,00,278256207,2024-05-31 17:23:56
626.28821,1,19fa047f,4,8,13,00,00,f4,2e,96,1a,7e,278256208,2024-05-31 17:23:56
626.28876,1,cf029e2,4,8,8d,4f,7d,80,d5,7b,00,05,278256209,2024-05-31 17:23:56
626.28933,1,19fa047f,4,8,14,61,30,11,00,00,00,00,278256210,2024-05-31 17:23:56
626.28991,1,19fa047f,4,8,15,f2,ff,ff,ff,ff,ff,ff,278256211,2024-05-31 17:23:56
626.29045,1,df0107f,4,8,00,f0,a2,4d,b0,cc,cd,2d,278256212,2024-05-31 17:23:56
626.29102,1,19fa037f,4,8,00,d3,3c,00,64,00,ff,7f,278256213,2024-05-31 17:23:56
626.29159,1,1df11a7f,4,8,00,f6,ff,ff,ba,08,ff,ff,278256214,2024-05-31 17:23:56
626.29216,1,df1197f,4,8,00,ff,7f,51,02,53,ff,ff,278256215,2024-05-31 17:23:56
626.29624,1,cf02ae2,4,8,c3,7c,3c,7d,24,7d,00,05,278256216,2024-05-31 17:23:56
626.2968,1,8f02de2,4,8,d8,7c,0a,7d,d2,80,00,00,278256217,2024-05-31 17:23:56
626.29734,1,cf029e2,4,8,99,4f,7d,85,d5,7b,00,05,278256218,2024-05-31 17:23:56
626.30623,1,cf02ae2,4,8,bf,7c,3a,7d,25,7d,00,05,278256219,2024-05-31 17:23:56
626.30679,1,8f02de2,4,8,d8,7c,0b,7d,d2,80,00,00,278256220,2024-05-31 17:23:56
